original_model_code,device_name,announced_date,release_date,price,inferred_brand,source_url,processed_time,method_used,display_size,operating_system,chipset,storage,battery,dimensions,weight,network
TANK2,BLU Tank Xtreme 2.4,"2017, January","Released 2017, January",,Ulefone,https://www.gsmarena.com/blu_tank_xtreme_2_4-8526.php,2025-07-16 15:36:30,google_gsmarena,"2.4 inches, 17.8 cm2(~23.6% screen-to-body ratio)",,,"32MB ROM, 24MB RAM","Li-Po 1650 mAh, removable",,139 g (4.90 oz),
moto g stylus 5G,Motorola Moto G Stylus 5G (2025),"2025, April 08","Available. Released 2025, April 17",$ 399.99,Motorola,https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2025)-13784.php,2025-07-16 15:36:48,google_gsmarena,"6.7 inches, 108.4 cm2(~89.3% screen-to-body ratio)",,Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),"128GB 8GB RAM, 256GB 8GB RAM",5000 mAh,,191 g (6.74 oz),
moto g 5G,Motorola Moto G 5G,"2020, November 05","Available. Released 2020, December 07",About 90 EUR,Motorola,https://www.gsmarena.com/motorola_moto_g_5g-10577.php,2025-07-16 15:37:03,google_gsmarena,"6.7 inches, 108.4 cm2(~85.7% screen-to-body ratio)",,Qualcomm SM7225 Snapdragon 750G 5G (8 nm),"64GB 4GB RAM, 128GB 2GB RAM, 128GB 6GB RAM",Li-Po 5000 mAh,,212 g (7.48 oz),
moto e(6) plus,Motorola Moto E6 Plus,"2019, September 05","Released 2019, September 16",About 200 EUR,Motorola,https://www.gsmarena.com/motorola_moto_e6_plus-9831.php,2025-07-16 15:37:24,google_gsmarena,"6.1 inches, 91.3 cm2(~80.3% screen-to-body ratio)",,Mediatek MT6762 Helio P22 (12 nm),"32GB 2GB RAM, 64GB 4GB RAM","Li-Po 3000 mAh, removable",,149.7 g (5.29 oz),
SM-A920F,Samsung Galaxy A9 (2018),"2018, October","Released 2018, November",About 550 EUR,Samsung,https://www.gsmarena.com/samsung_galaxy_a9_(2018)-9344.php,2025-07-16 15:37:41,google_gsmarena,"6.3 inches, 100.2 cm2(~80.1% screen-to-body ratio)",,Qualcomm SDM660 Snapdragon 660 (14 nm),"64GB 6GB RAM, 64GB 8GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","Li-Ion 3800 mAh, non-removable",,183 g (6.46 oz),
moto e14,Motorola Moto E14,"2024, June","Available. Released 2024, June",€ 77.58,Motorola,https://www.gsmarena.com/motorola_moto_e14-13148.php,2025-07-16 15:37:58,google_gsmarena,"6.56 inches, 103.4 cm2(~84.9% screen-to-body ratio)",,Unisoc T606 (12 nm),"64GB 2GB RAM, 64GB 4GB RAM",5000 mAh,,178.8 g (6.31 oz),
ZTE A2022L,ZTE Blade A52 Lite,"2022, August 20","Available. Released 2022, August",,ZTE,https://www.gsmarena.com/zte_blade_a52_lite-11927.php,2025-07-16 15:38:44,gsmchoice_gsmarena,"6.52 inches, 102.6 cm2(~82.1% screen-to-body ratio)",,,32GB 2GB RAM,Li-Ion 4000 mAh,,188 g (6.63 oz),
G3223,Sony Xperia XA1 Ultra,"2017, February","Released 2017, May",About 250 EUR,Unknown,https://www.gsmarena.com/sony_xperia_xa1_ultra-8595.php,2025-07-16 15:39:36,gsmarena_direct,"6.0 inches, 99.2 cm2(~76.1% screen-to-body ratio)",,Mediatek MT6757 Helio P20 (16 nm),"32GB 4GB RAM, 64GB 4GB RAM","Li-Ion 2700 mAh, non-removable",,188 g (6.63 oz),
STELLAR P7,Allview P7 Seon,"2014, July","Released 2014, July",About 230 EUR,Stellar,https://www.gsmarena.com/allview_p7_seon-6858.php,2025-07-16 15:39:55,google_gsmarena,"5.5 inches, 83.4 cm2(~68.4% screen-to-body ratio)",,Mediatek MT6591,8GB 1GB RAM,"Li-Ion 2400 mAh, removable",,146.4 g (5.15 oz),
ZTE Blade A33s,ZTE Blade A33s,"2023, November","Available. Released 2023, November",,ZTE,https://www.gsmarena.com/zte_blade_a33s-13550.php,2025-07-16 15:40:13,google_gsmarena,"6.3 inches, 99.0 cm2(~79.3% screen-to-body ratio)",,Unisoc SC9863A (28 nm),32GB 2GB RAM,4000 mAh,,-,
G63,BLU G63,"2023, June","Available. Released 2023, July",About 120 EUR,Unknown,https://www.gsmarena.com/blu_g63-12458.php,2025-07-16 15:41:02,gsmarena_direct,"6.8 inches, 111.6 cm2(~82.7% screen-to-body ratio)",,,128GB 4GB RAM,Li-Po 5000 mAh,,230 g (8.11 oz),
SHARK KSR-H0,Xiaomi Black Shark 4,"2021, March 23","Available. Released 2021, March 30",About 930 EUR,Shark,https://www.gsmarena.com/xiaomi_black_shark_4-10714.php,2025-07-16 15:41:19,google_gsmarena,"6.67 inches, 107.4 cm2(~85.8% screen-to-body ratio)",,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),"128GB 6GB RAM, 128GB 8GB RAM, 128GB 12GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",Li-Po 4500 mAh,,210 g (7.41 oz),
ZTE 9046,ZTE Blade A51,"2021, May 08","Available. Released 2021, May 08",,ZTE,https://www.gsmarena.com/zte_blade_a51-11239.php,2025-07-16 15:42:06,gsmchoice_gsmarena,"6.52 inches, 102.6 cm2(~81.5% screen-to-body ratio)",,Unisoc SC9863A (28 nm),"32GB 2GB RAM, 64GB 2GB RAM",Li-Ion 3200 mAh,,173.7 g (6.14 oz),
moto g(6) plus,Motorola Moto G6 Plus,"2018, April","Released 2018, May",About 190 EUR,Motorola,https://www.gsmarena.com/motorola_moto_g6_plus-9001.php,2025-07-16 15:43:01,gsmchoice_gsmarena,"5.9 inches, 89.8 cm2(~74.4% screen-to-body ratio)",,Qualcomm SDM630 Snapdragon 630 (14 nm),"32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Li-Ion 3200 mAh, non-removable",,167 g (5.89 oz),
