model_code,error_message,failed_time
vivo 1935,所有搜索方法都失败,2025-07-16 21:32:00
SM-A115F,所有搜索方法都失败,2025-07-16 21:32:30
Redmi Note 7,所有搜索方法都失败,2025-07-16 21:32:59
V2116,所有搜索方法都失败,2025-07-16 21:33:33
SM-A107F,所有搜索方法都失败,2025-07-16 21:34:05
vivo 1915,所有搜索方法都失败,2025-07-16 21:34:36
SM-A536E,所有搜索方法都失败,2025-07-16 21:35:04
TECNO KL4,所有搜索方法都失败,2025-07-16 21:35:33
Infinix X657B,所有搜索方法都失败,2025-07-16 21:36:05
SM-A207F,所有搜索方法都失败,2025-07-16 21:36:34
24090RA29G,所有搜索方法都失败,2025-07-16 21:37:00
2404APC5FG,所有搜索方法都失败,2025-07-16 21:37:27
SM-A166P,所有搜索方法都失败,2025-07-16 21:37:58
V2250,所有搜索方法都失败,2025-07-16 21:38:29
CPH1969,所有搜索方法都失败,2025-07-16 21:38:57
RMX3191,所有搜索方法都失败,2025-07-16 21:39:31
CPH2699,所有搜索方法都失败,2025-07-16 21:39:58
CPH2639,所有搜索方法都失败,2025-07-16 21:40:26
itel A665L,所有搜索方法都失败,2025-07-16 21:40:57
SM-A528B,所有搜索方法都失败,2025-07-16 21:41:26
RMX3910,所有搜索方法都失败,2025-07-16 21:41:59
CPH2599,所有搜索方法都失败,2025-07-16 21:42:29
Infinix X680B,所有搜索方法都失败,2025-07-16 21:43:00
SM-A715F,所有搜索方法都失败,2025-07-16 21:43:30
V2238,所有搜索方法都失败,2025-07-16 21:44:00
RMX3765,所有搜索方法都失败,2025-07-16 21:44:28
SM-A566B,所有搜索方法都失败,2025-07-16 21:45:00
2209116AG,所有搜索方法都失败,2025-07-16 21:45:25
V2038,所有搜索方法都失败,2025-07-16 21:45:55
SM-A315G,所有搜索方法都失败,2025-07-16 21:46:29
RMX1911,所有搜索方法都失败,2025-07-16 21:46:58
V2327,所有搜索方法都失败,2025-07-16 21:47:29
vivo 1807,所有搜索方法都失败,2025-07-16 21:48:04
Redmi 8,所有搜索方法都失败,2025-07-16 21:48:35
2412DPC0AG,所有搜索方法都失败,2025-07-16 21:49:00
V2131,所有搜索方法都失败,2025-07-16 21:49:33
24069PC21G,所有搜索方法都失败,2025-07-16 21:50:02
SM-M127F,所有搜索方法都失败,2025-07-16 21:50:32
CPH2669,所有搜索方法都失败,2025-07-16 21:51:04
SM-A507FN,所有搜索方法都失败,2025-07-16 21:51:36
23090RA98G,所有搜索方法都失败,2025-07-16 21:52:04
CPH2505,所有搜索方法都失败,2025-07-16 21:52:34
V2157,所有搜索方法都失败,2025-07-16 21:53:04
25028RN03A,所有搜索方法都失败,2025-07-16 21:53:31
22021211RG,所有搜索方法都失败,2025-07-16 21:53:59
RMX3151,所有搜索方法都失败,2025-07-16 21:54:33
RMX2020,所有搜索方法都失败,2025-07-16 21:55:05
V2201,所有搜索方法都失败,2025-07-16 21:55:35
SM-A032F,所有搜索方法都失败,2025-07-16 21:56:06
M2103K19PG,所有搜索方法都失败,2025-07-16 21:56:32
RMX2151,所有搜索方法都失败,2025-07-16 21:56:55
V2237,所有搜索方法都失败,2025-07-16 21:57:31
CPH2043,所有搜索方法都失败,2025-07-16 21:58:01
SM-A725F,所有搜索方法都失败,2025-07-16 21:58:30
itel S665L,所有搜索方法都失败,2025-07-16 21:59:06
vivo 1920,所有搜索方法都失败,2025-07-16 21:59:42
CPH2061,所有搜索方法都失败,2025-07-16 22:00:07
CPH2625,所有搜索方法都失败,2025-07-16 22:00:39
220733SG,所有搜索方法都失败,2025-07-16 22:01:05
RMX3581,所有搜索方法都失败,2025-07-16 22:01:36
RMX3201,所有搜索方法都失败,2025-07-16 22:02:10
RMX3235,所有搜索方法都失败,2025-07-16 22:02:39
V2030,所有搜索方法都失败,2025-07-16 22:03:14
CPH2529,所有搜索方法都失败,2025-07-16 22:03:49
RMX2189,所有搜索方法都失败,2025-07-16 22:04:20
SM-A022F,所有搜索方法都失败,2025-07-16 22:04:47
SM-A205F,所有搜索方法都失败,2025-07-16 22:05:18
V2236,所有搜索方法都失败,2025-07-16 22:05:51
SM-A736B,所有搜索方法都失败,2025-07-16 22:06:19
vivo 1919,所有搜索方法都失败,2025-07-16 22:06:51
V2252,所有搜索方法都失败,2025-07-16 22:07:22
Infinix X6816,所有搜索方法都失败,2025-07-16 22:07:52
V2342,所有搜索方法都失败,2025-07-16 22:08:22
Redmi Note 5,所有搜索方法都失败,2025-07-16 22:08:53
Infinix X6731B,所有搜索方法都失败,2025-07-16 22:09:24
CPH2701,所有搜索方法都失败,2025-07-16 22:09:54
22041219G,所有搜索方法都失败,2025-07-16 22:10:21
CPH2349,所有搜索方法都失败,2025-07-16 22:10:48
SM-A256E,所有搜索方法都失败,2025-07-16 22:11:17
vivo 1918,所有搜索方法都失败,2025-07-16 22:11:45
CPH2637,所有搜索方法都失败,2025-07-16 22:12:19
Infinix X6851,所有搜索方法都失败,2025-07-16 22:12:50
RMX2001,所有搜索方法都失败,2025-07-16 22:13:16
Infinix X6855,所有搜索方法都失败,2025-07-16 22:13:49
V2231,所有搜索方法都失败,2025-07-16 22:14:23
SM-S928B,所有搜索方法都失败,2025-07-16 22:14:57
V2146,所有搜索方法都失败,2025-07-16 22:15:26
SM-A236E,所有搜索方法都失败,2025-07-16 22:16:02
SM-S918B,所有搜索方法都失败,2025-07-16 22:16:33
SM-G610F,所有搜索方法都失败,2025-07-16 22:17:03
V2022,所有搜索方法都失败,2025-07-16 22:17:33
RMX3690,所有搜索方法都失败,2025-07-16 22:18:03
RMX3195,所有搜索方法都失败,2025-07-16 22:18:38
CPH2457,所有搜索方法都失败,2025-07-16 22:19:08
Infinix X657C,所有搜索方法都失败,2025-07-16 22:19:38
SM-A105G,所有搜索方法都失败,2025-07-16 22:20:06
V2108,所有搜索方法都失败,2025-07-16 22:20:36
CPH2557,所有搜索方法都失败,2025-07-16 22:21:10
Infinix X6881,所有搜索方法都失败,2025-07-16 22:21:41
V2318,所有搜索方法都失败,2025-07-16 22:22:12
CPH1723,所有搜索方法都失败,2025-07-16 22:22:46
2306EPN60G,所有搜索方法都失败,2025-07-16 22:23:10
RMX2193,所有搜索方法都失败,2025-07-16 22:23:43
RMX1851,所有搜索方法都失败,2025-07-16 22:24:14
SM-G990E,所有搜索方法都失败,2025-07-16 22:24:46
RMX3516,所有搜索方法都失败,2025-07-16 22:25:14
VIVO Y17,所有搜索方法都失败,2025-07-16 22:25:42
V2248,所有搜索方法都失败,2025-07-16 22:26:13
SM-A226B,所有搜索方法都失败,2025-07-16 22:26:40
23049PCD8G,所有搜索方法都失败,2025-07-16 22:27:06
M2101K7AG,所有搜索方法都失败,2025-07-16 22:27:32
2406APNFAG,所有搜索方法都失败,2025-07-16 22:27:56
RMX3063,所有搜索方法都失败,2025-07-16 22:28:30
vivo 1907,所有搜索方法都失败,2025-07-16 22:29:01
RMX2061,所有搜索方法都失败,2025-07-16 22:29:35
CPH2139,所有搜索方法都失败,2025-07-16 22:30:04
SM-S908E,所有搜索方法都失败,2025-07-16 22:30:35
V2317,所有搜索方法都失败,2025-07-16 22:31:07
SM-A750GN,所有搜索方法都失败,2025-07-16 22:31:31
SM-A305F,所有搜索方法都失败,2025-07-16 22:32:02
RMX3268,所有搜索方法都失败,2025-07-16 22:32:30
SM-A307GN,所有搜索方法都失败,2025-07-16 22:33:01
RMX3521,所有搜索方法都失败,2025-07-16 22:33:32
RMX3430,所有搜索方法都失败,2025-07-16 22:34:06
V2418,所有搜索方法都失败,2025-07-16 22:34:34
V2130,所有搜索方法都失败,2025-07-16 22:35:04
SM-N960F,所有搜索方法都失败,2025-07-16 22:35:37
2203129G,所有搜索方法都失败,2025-07-16 22:36:03
vivo 1814,所有搜索方法都失败,2025-07-16 22:36:40
Redmi 6A,所有搜索方法都失败,2025-07-16 22:37:08
V2025,所有搜索方法都失败,2025-07-16 22:37:37
itel A667LP,所有搜索方法都失败,2025-07-16 22:38:08
CPH1729,所有搜索方法都失败,2025-07-16 22:38:40
V2302,所有搜索方法都失败,2025-07-16 22:39:09
V2040,所有搜索方法都失败,2025-07-16 22:39:40
CPH2421,所有搜索方法都失败,2025-07-16 22:40:15
RMX3171,所有搜索方法都失败,2025-07-16 22:40:47
Infinix X689B,所有搜索方法都失败,2025-07-16 22:41:17
RMX3081,所有搜索方法都失败,2025-07-16 22:41:47
CPH1801,所有搜索方法都失败,2025-07-16 22:42:16
RMX3636,所有搜索方法都失败,2025-07-16 22:42:51
M2012K11AG,所有搜索方法都失败,2025-07-16 22:43:19
V2118,所有搜索方法都失败,2025-07-16 22:43:48
V2058,所有搜索方法都失败,2025-07-16 22:44:23
Infinix X665E,所有搜索方法都失败,2025-07-16 22:44:52
Infinix X665B,所有搜索方法都失败,2025-07-16 22:45:20
itel A666LN,所有搜索方法都失败,2025-07-16 22:45:51
TECNO LI7,所有搜索方法都失败,2025-07-16 22:46:19
SM-G975F,所有搜索方法都失败,2025-07-16 22:46:47
Infinix X6871,所有搜索方法都失败,2025-07-16 22:47:21
Redmi 5 Plus,所有搜索方法都失败,2025-07-16 22:47:52
SM-N975F,所有搜索方法都失败,2025-07-16 22:48:35
21061110AG,所有搜索方法都失败,2025-07-16 22:49:03
V2050,所有搜索方法都失败,2025-07-16 22:49:31
V2348,所有搜索方法都失败,2025-07-16 22:49:59
vivo Y19,所有搜索方法都失败,2025-07-16 22:50:32
22101320G,所有搜索方法都失败,2025-07-16 22:51:00
RMX1921,所有搜索方法都失败,2025-07-16 22:51:57
21081111RG,所有搜索方法都失败,2025-07-16 22:52:28
CPH2273,所有搜索方法都失败,2025-07-16 22:52:57
SM-M205G,所有搜索方法都失败,2025-07-16 22:53:29
CPH2359,所有搜索方法都失败,2025-07-16 22:53:59
Infinix X6827,所有搜索方法都失败,2025-07-16 22:54:26
SM-A705F,所有搜索方法都失败,2025-07-16 22:54:57
SM-S721B,所有搜索方法都失败,2025-07-16 22:55:29
Infinix X6850,所有搜索方法都失败,2025-07-16 22:55:55
TECNO LH7n,所有搜索方法都失败,2025-07-16 22:56:26
Infinix X689,所有搜索方法都失败,2025-07-16 22:57:02
SM-A366B,所有搜索方法都失败,2025-07-16 22:57:39
itel S681LN,所有搜索方法都失败,2025-07-16 22:58:16
SM-M315F,所有搜索方法都失败,2025-07-16 22:58:48
TECNO KJ7,所有搜索方法都失败,2025-07-16 22:59:21
itel S686LN,所有搜索方法都失败,2025-07-16 22:59:50
SM-F936B,所有搜索方法都失败,2025-07-16 23:00:20
CPH2371,所有搜索方法都失败,2025-07-16 23:00:54
Infinix X692,所有搜索方法都失败,2025-07-16 23:01:23
RMX3241,所有搜索方法都失败,2025-07-16 23:01:55
SM-M115F,所有搜索方法都失败,2025-07-16 23:02:25
Infinix X650C,所有搜索方法都失败,2025-07-16 23:02:55
